,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
254,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,0.8101149425287356,0.8179310344827586,0.8220689655172414,0.8188505747126437,0.8170114942528736,0.8105747126436782,0.799080459770115,0.807816091954023,0.8032183908045977,0.8087356321839081,0.8124137931034483,0.8022988505747126,0.7931034482758621,0.8266666666666667,0.8137931034482758,0.8128735632183908,0.7940229885057472,0.8271264367816092,0.7829885057471264,0.8137931034482758,0.8041379310344827,0.7829885057471264,0.8211494252873563,0.8110344827586207,0.8068965517241379,0.8216091954022988,0.8105747126436782,0.8179310344827586
261,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,0.8174712643678161,0.8018390804597701,0.8280459770114943,0.8174712643678161,0.8032183908045977,0.8036781609195403,0.8091954022988506,0.8073563218390805,0.8055172413793104,0.8004597701149425,0.8091954022988506,0.8202298850574713,0.7811494252873563,0.8234482758620689,0.8183908045977012,0.8170114942528736,0.8101149425287356,0.8354022988505747,0.8091954022988506,0.7889655172413793,0.8082758620689655,0.791264367816092,0.8262068965517242,0.8482758620689655,0.8151724137931035,0.8087356321839081,0.8160919540229885,0.8151724137931035
281,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,,,,,,,,,,,,,,,,,,,,,,,,,,,,
