agent,Splice,DNA,USPS,Cifar10,FashionMnist,TopV2,News,Unencoded,Encoded
Oracle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1
Margin,6.0,7.3,2.0,6.7,5.3,2.3,3.3,4.7,4.4
Badge,6.0,7.3,3.0,6.7,5.0,3.3,4.0,5.0,5.3
BALD,3.3,4.7,5.3,12.0,7.0,6.3,4.3,6.1,7.9
CoreGCN,8.7,3.7,10.7,6.3,5.3,4.0,7.7,6.6,9.1
DSA,8.3,6.3,7.7,7.7,4.3,6.7,6.7,6.8,6.1
LeastConfident,10.0,12.0,8.0,3.0,4.3,9.3,2.3,7.0,6.7
LSA,5.7,6.7,5.3,6.7,10.7,7.7,7.0,7.1,6.3
Entropy,11.0,3.3,7.3,4.0,6.7,8.3,9.7,7.2,7.0
Random,7.7,8.7,5.3,8.0,11.0,8.0,9.0,8.2,6.3
Coreset,4.7,10.3,10.3,7.7,6.0,9.0,11.0,8.4,7.2
TypiClust,5.7,6.7,12.0,8.3,11.3,12.0,12.0,9.7,9.7
